lp_ess,min_ess,method,scale
200.2159241907517,198.22068021368383,centered,9.999999999999998
1651.272318254899,3722.466496700516,non_centered,9.999999999999998
1690.3177684673647,3546.42968128737,kleppe,9.999999999999998
148.85298934434286,149.6769709149107,centered,9.54548456661834
1572.4548124531752,3019.803313513218,non_centered,9.54548456661834
1664.511170089711,2986.107645592462,kleppe,9.54548456661834
198.38988284000192,223.17672320805693,centered,9.11162756115489
1826.4356448180188,3230.296122880425,non_centered,9.11162756115489
1261.6202294188645,2754.1149693235643,kleppe,9.11162756115489
247.06711530581788,257.3250772190181,centered,8.697490026177832
1669.6977434918028,2860.6500477510203,non_centered,8.697490026177832
1887.204282434962,3390.1291297616995,kleppe,8.697490026177832
193.346660127149,194.02973667828599,centered,8.302175681319742
1817.2441136122795,3103.529973958732,non_centered,8.302175681319742
1799.4094315364641,2697.7394635271226,kleppe,8.302175681319742
187.41894059520772,203.86407094613904,centered,7.924828983539171
1563.581027208654,2856.531379824317,non_centered,7.924828983539171
1499.453038474434,2823.694754810576,kleppe,7.924828983539171
175.9433366618511,197.37960874306657,centered,7.564633275546288
1690.7573821410535,3491.894908294035,non_centered,7.564633275546288
1778.3601906897488,2902.673544700222,kleppe,7.564633275546288
157.1757582704366,151.07665472162165,centered,7.220809018385461
1659.7736564818663,3177.086779715557,non_centered,7.220809018385461
1856.955718248733,2473.3076663652646,kleppe,7.220809018385461
69.56466308286437,72.42948918055409,centered,6.892612104349697
1763.0808879592644,2910.2931817585495,non_centered,6.892612104349697
1712.0426661617453,3376.9029378735345,kleppe,6.892612104349697
175.76552476481535,106.28001159062879,centered,6.579332246575678
1733.5339315083586,3369.6531171898596,non_centered,6.579332246575678
1466.6949913431424,3102.6919924516455,kleppe,6.579332246575678
230.71529478595983,218.7673764313863,centered,6.280291441834251
1731.9951230876152,2839.186635432213,non_centered,6.280291441834251
1822.8449543842094,3383.263790527759,kleppe,6.280291441834251
178.50959058454447,174.38142743199322,centered,5.9948425031894095
1757.443346189352,3143.9166993922686,non_centered,5.9948425031894095
1826.5776100131968,2321.0234315860566,kleppe,5.9948425031894095
81.61003420304215,77.34557784324332,centered,5.722367659350215
1558.588764669088,2927.1101117135668,non_centered,5.722367659350215
1614.598331731218,2960.4462364149176,kleppe,5.722367659350215
221.83068455733505,234.3998492714389,centered,5.46227721768434
1889.9230710095724,3102.656770444358,non_centered,5.46227721768434
1726.8373084353782,3747.2947392234837,kleppe,5.46227721768434
179.4517399681177,193.62495394705428,centered,5.214008287999683
1830.1635934436156,2712.478784410476,non_centered,5.214008287999683
1780.8608442184213,2518.699250915086,kleppe,5.214008287999683
176.72457860758996,191.33325610464067,centered,4.977023564332109
1650.5207405872582,2310.4308261111532,non_centered,4.977023564332109
1781.9415673444098,3459.8168359033443,kleppe,4.977023564332109
165.47156661302384,169.2525515429603,centered,4.750810162102796
1676.6777300889164,3233.07926556714,non_centered,4.750810162102796
1799.8643222149594,2957.406083567266,kleppe,4.750810162102796
187.29337887848078,186.2587383499107,centered,4.53487850812858
1730.8710002137966,2502.9992231580936,non_centered,4.53487850812858
1720.3966041915994,2919.213121820701,kleppe,4.53487850812858
10.604042745820585,10.432360945991551,centered,4.328761281083057
1532.7796744213824,2654.823843577703,non_centered,4.328761281083057
1679.2948458911353,3208.144229770493,kleppe,4.328761281083057
156.62674960388716,165.92179723162283,centered,4.132012400115336
1536.3708037573122,2482.029267518615,non_centered,4.132012400115336
1654.5542534856809,2993.1631357192373,kleppe,4.132012400115336
246.1251827432926,267.83146876626665,centered,3.944206059437654
1606.1075256597499,2705.0782578470926,non_centered,3.944206059437654
1826.048409909645,2758.196977618047,kleppe,3.944206059437654
189.92951473045866,190.13813194670857,centered,3.7649358067924674
1701.696950988681,3370.2292072342116,non_centered,3.7649358067924674
1738.4630364079715,2884.70578566714,kleppe,3.7649358067924674
40.837301129797005,44.253269943439875,centered,3.5938136638046263
1904.900804319266,2933.1987270976306,non_centered,3.5938136638046263
1644.8650564589952,3145.4068704624005,kleppe,3.5938136638046263
258.89712421112597,283.84878287937886,centered,3.430469286314917
1811.6139120130524,3002.715512795232,non_centered,3.430469286314917
1807.0379417875718,3173.7211114278093,kleppe,3.430469286314917
238.5551124889056,247.54991164724564,centered,3.2745491628777272
1688.6862872968838,2707.5143033678646,non_centered,3.2745491628777272
1845.42177776193,3437.1069649818014,kleppe,3.2745491628777272
94.63622539881052,92.98076902665586,centered,3.125715849688235
1850.630554526671,2888.333727242008,non_centered,3.125715849688235
2024.0191495057556,2928.6109298092633,kleppe,3.125715849688235
115.64831245432451,117.88574685860549,centered,2.9836472402833385
1703.8655430327917,2883.78078644104,non_centered,2.9836472402833385
1576.0088209893681,3047.83244325308,kleppe,2.9836472402833385
191.08484711245092,195.22900909693328,centered,2.848035868435801
1433.6689346254755,2998.567472380595,non_centered,2.848035868435801
1568.3435028778565,3278.994922269402,kleppe,2.848035868435801
208.91783136156218,221.40483016895993,centered,2.7185882427329395
1720.27536943602,2433.261357558885,non_centered,2.7185882427329395
1429.281487984107,3040.842122996141,kleppe,2.7185882427329395
172.22524517890042,170.60247198601283,centered,2.595024211399735
1448.9144694249858,2303.059314216248,non_centered,2.595024211399735
1787.075573006926,3394.8078642624578,kleppe,2.595024211399735
280.0900152303502,320.38005140138563,centered,2.47707635599171
1520.695538601211,2771.0235305525443,non_centered,2.47707635599171
1915.2587818227917,3237.7309916663257,kleppe,2.47707635599171
228.09857397579665,245.0420010680246,centered,2.3644894126454066
1674.6658604423997,2754.179512237266,non_centered,2.3644894126454066
1722.8677656031787,2645.720431500044,kleppe,2.3644894126454066
17.759395059444746,9.335904996128107,centered,2.2570197196339192
1839.7756335490405,2676.803122336924,non_centered,2.2570197196339192
2110.8795903834116,3314.0558463544467,kleppe,2.2570197196339192
59.55175427035518,71.92677123307855,centered,2.154434690031883
1511.4720968793824,2393.0835362454395,non_centered,2.154434690031883
1854.6895078143289,3641.654904263077,kleppe,2.154434690031883
195.32516541258073,221.5864258256243,centered,2.0565123083486507
1636.0921320338857,2580.878652381732,non_centered,2.0565123083486507
1690.0445199156263,2921.773660951914,kleppe,2.0565123083486507
173.96851861476503,182.67846776440697,centered,1.9630406500402704
1707.686004798237,2858.730823207524,non_centered,1.9630406500402704
1521.8961822042868,3073.250170759334,kleppe,1.9630406500402704
142.63693214678344,140.23560308737697,centered,1.8738174228603834
1572.098102242007,2440.491472511739,non_centered,1.8738174228603834
1716.4737219634308,3467.497959997572,kleppe,1.8738174228603834
38.86466256180064,38.589685441901665,centered,1.7886495290574342
1741.9259986465786,2995.070455299451,non_centered,1.7886495290574342
1582.0598395229588,2693.4986225365183,kleppe,1.7886495290574342
233.2679825693506,253.25221603791047,centered,1.70735264747069
1790.6875490405214,2655.2935567684017,non_centered,1.70735264747069
1483.887016481129,3751.1501323040707,kleppe,1.70735264747069
